Year,Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
2017,13. Brighton,34,10.1,542,45.1,74.9,21.4,6.69
2017,14. Southampton,37,11.8,632,51,77.5,18.5,6.67
2017,15. Everton,44,9.4,513,46.7,74.3,20.4,6.67
2017,16. Watford,44,11.6,634,49.3,75.5,22.6,6.66
2017,17. Bournemouth,45,12.2,551,48.5,77,19,6.65
2017,18. West Bromwich Albion,31,9.9,731,42.8,72.4,21.1,6.63
2017,19. Huddersfield,28,9.5,623,46.4,74,21.2,6.61
2017,20. Swansea,28,8.9,511,46,78.2,18.5,6.59
2016,1. Chelsea,85,15.3,720,54,83.9,14.2,7.05
2016,2. Tottenham,86,17.6,620,57.4,82.5,15,7.04
2016,3. Manchester City,80,16.7,714,60.9,85.5,15.4,7.01
2016,4. Arsenal,77,14.9,683,56.5,83.8,16.7,6.99
2016,5. Manchester United,54,15.6,782,55,84.2,16.4,6.99
2016,6. Liverpool,78,16.8,540,58.3,82.4,17.3,6.98
2016,7. Everton,62,13.2,722,51.5,79,17.5,6.91
2016,8. Southampton,41,14.5,592,53.1,80.5,17.1,6.76
2016,9. West Ham,47,13.1,785,48.4,78.2,19.1,6.76
2016,10. Stoke,41,11.2,702,47.2,75.3,21.3,6.76
2016,11. Crystal Palace,50,11.6,770,46.7,73.4,22,6.76
2016,12. Middlesbrough,27,9.2,771,47.9,77.3,20.3,6.74
2016,13. Bournemouth,55,11.9,523,51.3,81.3,14.4,6.74
2016,14. Burnley,39,10.3,652,42.7,67.8,24,6.72
2016,15. Leicester,48,11.4,721,43.7,70.1,20.2,6.71
2016,16. West Bromwich Albion,43,10.5,800,40.7,70.4,17.7,6.69
2016,17. Swansea,45,10.7,560,48.3,78.9,17.8,6.68
2016,18. Watford,40,11.1,845,47,74,19.1,6.65
2016,19. Sunderland,29,10.2,784,42.8,72.6,16.2,6.62
2016,20. Hull,37,10.4,675,46.7,77.4,15.5,6.6
2015,1. Arsenal,66,15.1,404,56.9,84.2,15.2,7.08
2015,2. Leicester,68,13.7,483,44.7,70.5,18.8,7.06
2015,3. Tottenham,71,17.3,720,55.3,80.5,14.3,7.01
2015,4. Manchester City,71,16.2,610,55.2,83.1,15.7,7.01
2015,5. West Ham,67,14.7,585,49.1,77.6,17.7,6.92
2015,6. Southampton,57,13.7,576,49.3,77.7,19.3,6.91
2015,7. Liverpool,63,16.6,613,55,80.2,16.5,6.91
2015,8. Everton,58,12.9,445,51.5,81.4,12.9,6.88
2015,9. Chelsea,58,13.8,585,54.4,82.5,14.1,6.87
2015,10. Manchester United,47,11.3,651,55.8,82.3,13.1,6.83
2015,11. Watford,40,11.7,733,46.3,72.6,17.4,6.8
2015,12. Sunderland,48,11.6,642,43.3,71,17.3,6.76
2015,13. Crystal Palace,40,12.3,602,46.8,74.4,17.8,6.76
2015,14. Swansea,43,11.6,601,52,80.9,13.7,6.75
2015,15. Stoke,41,11,514,50,79.1,16.4,6.74
2015,16. Newcastle United,44,10.4,605,47.4,76.6,13.9,6.73
2015,17. West Bromwich Albion,32,10.2,653,42.3,70,19.1,6.72
2015,18. Bournemouth,45,12.2,531,51,79.8,15.3,6.71
